name,zone,layer,list,args,has_args
AreaMoveSphere,CocoPoihanaZone,Common,AreaObjInfo,"0,-1,-1,-1,-1,-1,-1,-1",1
AreaMoveSphere,DesertConvectionZone,Common,AreaObjInfo,"25,-1,-1,-1,-1,-1,-1,-1",1
AstroChangeStageCube,AstroDome,Common,AreaObjInfo,"0,-1,-1,-1,-1,-1,-1,-1",1
AstroChangeStageCube,AstroGalaxy,Common,AreaObjInfo,"1,0,-1,-1,-1,-1,-1,-1",1
AstroChangeStageCube,AstroGalaxy,Common,AreaObjInfo,"3,0,-1,-1,-1,-1,-1,-1",1
AstroChangeStageCube,AstroGalaxy,Common,AreaObjInfo,"5,1,1,-1,-1,-1,-1,-1",1
AstroChangeStageCube,AstroGalaxy,Common,AreaObjInfo,"5,1,2,-1,-1,-1,-1,-1",1
AstroChangeStageCube,AstroGalaxy,Common,AreaObjInfo,"5,1,3,-1,-1,-1,-1,-1",1
AstroChangeStageCube,AstroGalaxy,Common,AreaObjInfo,"5,1,4,-1,-1,-1,-1,-1",1
AstroChangeStageCube,AstroGalaxy,Common,AreaObjInfo,"5,1,5,-1,-1,-1,-1,-1",1
AstroChangeStageCube,AstroGalaxy,Common,AreaObjInfo,"5,1,6,-1,-1,-1,-1,-1",1
AstroChangeStageCube,LibraryRoom,Common,AreaObjInfo,"4,101,-1,-1,-1,-1,-1,-1",1
AstroOverlookAreaCylinder,AstroGalaxy,Common,AreaObjInfo,"0,-1,-1,-1,-1,-1,-1,-1",1
AstroOverlookAreaCylinder,AstroGalaxy,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCube,AutumnMysteryRoomZone,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCube,CaveMysteryRoomZone,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCube,ClimbMysteryRoomZone,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCube,CosmosGardenGalaxy,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCube,EggStarGalaxy,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCube,GhostShipCaveZone,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCube,GhostShipCaveZone,Common,AreaObjInfo,"4,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCube,HeavenlyBeachZone,Common,AreaObjInfo,"3,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCube,HoneyMysteryRoomZone,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCube,HopperBonusZone,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCube,MysteryGravityRoomZone,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCube,RabbitMazeZone,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCube,TeresaHouseZone,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCube,TeresaMario2DGalaxy,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCube,ThrowTutorialZone,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCube,ToySphereInsideZone,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCube,WaterRoadCaveExZone,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCylinder,DesertInsideZone,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectCylinder,HellHomeZone,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AudioEffectSphere,HeavensDoorInsideZone,Common,AreaObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
BeeWallShortDistAreaCube,ForestBossZone,Common,AreaObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
BeeWallShortDistAreaCube,ForestHomeZone,Common,AreaObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
BeeWallShortDistAreaCube,HoneyQueenZone,LayerA,AreaObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
BlackHoleCube,PhantomGalaxy,Common,AreaObjInfo,"3000,-1,-1,-1,-1,-1,-1,-1",1
BlackHoleCube,PhantomGalaxy,LayerA,AreaObjInfo,"3000,-1,-1,-1,-1,-1,-1,-1",1
BlackHoleCube,PhantomGalaxy,LayerC,AreaObjInfo,"3000,-1,-1,-1,-1,-1,-1,-1",1
BloomCube,AstroDome,Common,AreaObjInfo,"100,40,-1,-1,-1,-1,-1,-1",1
BloomCube,BeamerRushZone,LayerA,AreaObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
BloomCube,DesertConvectionZone,Common,AreaObjInfo,"30,-1,-1,-1,-1,-1,-1,-1",1
BloomCube,EggStarFlipPanelZone,Common,AreaObjInfo,"51,9,13,8,-1,-1,-1,100",1
BloomCube,EpilogueDemoStage,Common,AreaObjInfo,"100,175,50,35,-1,-1,-1,-1",1
BloomCube,FlipPanelExGalaxy,Common,AreaObjInfo,"80,20,10,20,-1,-1,-1,-1",1
BloomCube,FloaterOtakingGalaxy,Common,AreaObjInfo,"148,148,-1,-1,-1,-1,-1,-1",1
