name,zone,layer,list,args,has_args
BigBubbleCameraBox,CubeBubbleEXAZone,LayerA,CameraCubeInfo,"10,-1,150,-1",1
BigBubbleCameraBox,CubeBubbleEXAZone,LayerA,CameraCubeInfo,"6,-1,120,-1",1
BigBubbleCameraBox,CubeBubbleEXBZone,Common,CameraCubeInfo,"0,-1,200,-1",1
BigBubbleCameraBox,CubeBubbleEXCZone,Common,CameraCubeInfo,"101,-1,201,-1",1
BigBubbleCameraBox,CubeBubbleExSZone,LayerA,CameraCubeInfo,"1,-1,1000,-1",1
BigBubbleCameraCylinder,ReverseForestHomeZone,LayerO,CameraCubeInfo,"12,-1,1300,-1",1
BigBubbleCameraCylinder,ReverseForestHomeZone,LayerO,CameraCubeInfo,"58,-1,1301,-1",1
CubeCameraBowl,FloaterLandZone,Common,CameraCubeInfo,"53,-1,1002,1",1
CubeCameraBowl,HeavenlyBeachZone,Common,CameraCubeInfo,"301,-1,1001,-1",1
CubeCameraBowl,ReverseGravityTowerZone,Common,CameraCubeInfo,"2,-1,101,-1",1
CubeCameraBox,AsteroidBlockZone,Common,CameraCubeInfo,"10,-1,200,-1",1
CubeCameraBox,AsteroidBlockZone,Common,CameraCubeInfo,"11,-1,201,-1",1
CubeCameraBox,AsteroidBlockZone,LayerM,CameraCubeInfo,"12,-1,202,-1",1
CubeCameraBox,AsteroidBlockZone,LayerM,CameraCubeInfo,"13,-1,203,-1",1
CubeCameraBox,AstroDome,Common,CameraCubeInfo,"1,-1,1,-1",1
CubeCameraBox,AstroDome,Common,CameraCubeInfo,"4,-1,105,-1",1
CubeCameraBox,AstroDome,Common,CameraCubeInfo,"5,-1,105,-1",1
CubeCameraBox,AstroGalaxy,Common,CameraCubeInfo,"17,-1,13,-1",1
CubeCameraBox,AstroGalaxy,Common,CameraCubeInfo,"20,-1,20,-1",1
CubeCameraBox,AstroGalaxy,Common,CameraCubeInfo,"27,-1,25,-1",1
CubeCameraBox,AstroGalaxy,Common,CameraCubeInfo,"3,-1,6,-1",1
CubeCameraBox,AstroGalaxy,Common,CameraCubeInfo,"36,-1,36,-1",1
CubeCameraBox,AstroGalaxy,Common,CameraCubeInfo,"7,-1,8,-1",1
CubeCameraBox,AutumnMysteryRoomZone,Common,CameraCubeInfo,"10,-1,-1,-1",1
CubeCameraBox,AutumnMysteryRoomZone,Common,CameraCubeInfo,"11,-1,10,-1",1
CubeCameraBox,AutumnMysteryRoomZone,Common,CameraCubeInfo,"12,-1,10,-1",1
CubeCameraBox,BattleShipGalaxy,LayerA,CameraCubeInfo,"1,-1,9000,128",1
CubeCameraBox,BeamerRushZone,LayerA,CameraCubeInfo,"0,-1,1001,-1",1
CubeCameraBox,BeltConveyerExGalaxy,Common,CameraCubeInfo,"10,-1,-1,-1",1
CubeCameraBox,BeltConveyerExGalaxy,Common,CameraCubeInfo,"11,-1,-1,-1",1
CubeCameraBox,BeltConveyerExGalaxy,Common,CameraCubeInfo,"11,-1,700,-1",1
CubeCameraBox,BeltConveyerExGalaxy,Common,CameraCubeInfo,"15,-1,200,-1",1
CubeCameraBox,BeltConveyerExGalaxy,Common,CameraCubeInfo,"17,-1,10,-1",1
CubeCameraBox,BeltConveyerExGalaxy,Common,CameraCubeInfo,"17,-1,750,-1",1
