name,zone,layer,list,args,has_args
BossKameckMoveRail,GhostShipCaveZone,LayerA,ChildObjInfo,"0,-1,-1,-1,-1,-1,-1,-1",1
BossKameckMoveRail,GhostShipCaveZone,LayerA,ChildObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
BossKameckMoveRail,GhostShipCaveZone,LayerA,ChildObjInfo,"2,-1,-1,-1,-1,-1,-1,-1",1
BossKameckMoveRail,GhostShipCaveZone,LayerA,ChildObjInfo,"3,-1,-1,-1,-1,-1,-1,-1",1
BossKameckMoveRail,GhostShipCaveZone,LayerN,ChildObjInfo,"0,-1,-1,-1,-1,-1,-1,-1",1
BossKameckMoveRail,GhostShipCaveZone,LayerN,ChildObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
BossKameckMoveRail,GhostShipCaveZone,LayerN,ChildObjInfo,"2,-1,-1,-1,-1,-1,-1,-1",1
BossKameckMoveRail,GhostShipCaveZone,LayerN,ChildObjInfo,"3,-1,-1,-1,-1,-1,-1,-1",1
BossKameckMoveRail,ThrowTutorialZone,LayerA,ChildObjInfo,"0,-1,-1,-1,-1,-1,-1,-1",1
BossKameckMoveRail,ThrowTutorialZone,LayerA,ChildObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
BossKameckMoveRail,ThrowTutorialZone,LayerA,ChildObjInfo,"2,-1,-1,-1,-1,-1,-1,-1",1
ChildIceMeramera,IceMountainZone,LayerN,ChildObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ChildKameck,GhostShipCaveZone,LayerA,ChildObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ChildKameck,GhostShipCaveZone,LayerN,ChildObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ChildKameck,KoopaJrShipBattleLv1Tmp1Zone,Common,ChildObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ChildKameck,ThrowTutorialZone,LayerA,ChildObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ChildKuribo,KuriboThirtyZone,Common,ChildObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ChildSkeletalFishBaby,SkullSharkGalaxy,Common,ChildObjInfo,"15,5000,-1,-1,-1,-1,-1,-1",1
ChildSkeletalFishBaby,TearDropGalaxy,Common,ChildObjInfo,"15,5000,-1,-1,-1,-1,-1,-1",1
StrayTico,AsteroidBlockZone,LayerB,ChildObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
StrayTico,HellLavaBallRisingPlanetZone,LayerA,ChildObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
StrayTico,OceanRingZone,LayerC,ChildObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
StrayTico,StarDustAssemblyBlockZone,LayerA,ChildObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
TamakoroTutorial,HellBallZone,LayerA,ChildObjInfo,"0,-1,-1,-1,-1,-1,-1,-1",1
TamakoroTutorial,TamakoroExAZone,LayerA,ChildObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
TamakoroTutorial,TamakoroExBZone,LayerA,ChildObjInfo,"0,-1,-1,-1,-1,-1,-1,-1",1
TrickRabbitFreeRunChild,SnowCapsuleZone,Common,ChildObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
