name,zone,layer,list,args,has_args
DebugMovePos,BattleShipGalaxy,Common,DebugMoveInfo,,0
DebugMovePos,CoCoTwinZone,Common,DebugMoveInfo,,0
DebugMovePos,CocoPoihanaZone,Common,DebugMoveInfo,,0
DebugMovePos,CubeBubbleExLv2Galaxy,Common,DebugMoveInfo,,0
DebugMovePos,EggStarGalaxy,Common,DebugMoveInfo,,0
DebugMovePos,FloaterLandZone,Common,DebugMoveInfo,,0
DebugMovePos,ForestHomeZone,Common,DebugMoveInfo,,0
DebugMovePos,GCaptureTutorialZone,Common,DebugMoveInfo,,0
DebugMovePos,GhostShipCaveZone,Common,DebugMoveInfo,,0
DebugMovePos,HeavenlyBeachGalaxy,Common,DebugMoveInfo,,0
DebugMovePos,HeavenlyBeachZone,Common,DebugMoveInfo,,0
DebugMovePos,HoneyBeeExGalaxy,Common,DebugMoveInfo,,0
DebugMovePos,HoneyBeeKingdomGalaxy,Common,DebugMoveInfo,,0
DebugMovePos,IceMountainZone,Common,DebugMoveInfo,,0
DebugMovePos,KoopaBattleVs2Galaxy,Common,DebugMoveInfo,,0
DebugMovePos,KoopaBattleVs3ArigaCZone,Common,DebugMoveInfo,,0
DebugMovePos,OceanFloaterLandGalaxy,Common,DebugMoveInfo,,0
DebugMovePos,OceanPhantomCaveGalaxy,Common,DebugMoveInfo,,0
DebugMovePos,OceanTwinPiratesZone,Common,DebugMoveInfo,,0
DebugMovePos,OnimasuZone,Common,DebugMoveInfo,,0
DebugMovePos,PhantomGalaxy,Common,DebugMoveInfo,,0
DebugMovePos,ReverseKingdomGalaxy,Common,DebugMoveInfo,,0
DebugMovePos,StarDustGalaxy,Common,DebugMoveInfo,,0
DebugMovePos,SurfingLV1Zone,Common,DebugMoveInfo,,0
DebugMovePos,SurfingLv2Galaxy,Common,DebugMoveInfo,,0
DebugMovePos,TamakoroExLv2Galaxy,Common,DebugMoveInfo,,0
DebugMovePos,TriLegLV1Galaxy,Common,DebugMoveInfo,,0
DebugMovePos,VsHugeBattleShipZone,Common,DebugMoveInfo,,0
