name,zone,layer,list,args,has_args
DemoGroup,AstroDome,Common,DemoObjInfo,,0
DemoGroup,BattleShipGalaxy,LayerA,DemoObjInfo,,0
DemoGroup,BlueStarZone,Common,DemoObjInfo,,0
DemoGroup,BossBazookaTowerZone,LayerA,DemoObjInfo,,0
DemoGroup,BreakDownPlanetZone,Common,DemoObjInfo,,0
DemoGroup,CannonFleetGalaxy,LayerC,DemoObjInfo,,0
DemoGroup,DarknessRoomZone,Common,DemoObjInfo,,0
DemoGroup,DesertInsideZone,Common,DemoObjInfo,,0
DemoGroup,DiskGardenZone,LayerB,DemoObjInfo,,0
DemoGroup,ElectricBegomanSpikeZone,LayerA,DemoObjInfo,,0
DemoGroup,ElectricUfoLevel2Zone,LayerA,DemoObjInfo,,0
DemoGroup,ElectricUfoZone,LayerA,DemoObjInfo,,0
DemoGroup,EpilogueDemoStage,Common,DemoObjInfo,,0
DemoGroup,FloaterLandZone,Common,DemoObjInfo,,0
DemoGroup,FloaterOtakingGalaxy,Common,DemoObjInfo,,0
DemoGroup,ForestHomeZone,LayerG,DemoObjInfo,,0
DemoGroup,ForestHomeZone,LayerJ,DemoObjInfo,,0
DemoGroup,FortressJumpBeamerZone,LayerA,DemoObjInfo,,0
DemoGroup,GCaptureTutorialZone,LayerB,DemoObjInfo,,0
DemoGroup,GhostShipCaveZone,Common,DemoObjInfo,,0
DemoGroup,GhostShipCaveZone,LayerB,DemoObjInfo,,0
DemoGroup,HeavenlyBeachZone,LayerA,DemoObjInfo,,0
DemoGroup,HeavensDoorInsideZone,Common,DemoObjInfo,,0
DemoGroup,HeavensDoorMysteriousZone,LayerA,DemoObjInfo,,0
DemoGroup,HeavensDoorMysteriousZone,LayerB,DemoObjInfo,,0
DemoGroup,HellHomeZone,Common,DemoObjInfo,,0
DemoGroup,HellPoolBZone,LayerB,DemoObjInfo,,0
DemoGroup,HellShellZone,Common,DemoObjInfo,,0
DemoGroup,HoneyQueenZone,LayerA,DemoObjInfo,,0
DemoGroup,IceMichihikiZone,LayerA,DemoObjInfo,,0
DemoGroup,IceMountainZone,LayerN,DemoObjInfo,,0
DemoGroup,IceRingAZone,Common,DemoObjInfo,,0
DemoGroup,IceVolcanoGalaxy,Common,DemoObjInfo,,0
DemoGroup,KoopaBattleVs1BossZone,Common,DemoObjInfo,,0
DemoGroup,KoopaBattleVs2BossZone,Common,DemoObjInfo,,0
DemoGroup,KoopaBattleVs3BossZone,Common,DemoObjInfo,,0
DemoGroup,KoopaJrShipBattleLv1Tmp1Zone,LayerA,DemoObjInfo,,0
DemoGroup,LibraryRoom,Common,DemoObjInfo,,0
DemoGroup,MarioLancherLecture2Zone,LayerA,DemoObjInfo,,0
DemoGroup,MarioLancherLecture3Zone,LayerA,DemoObjInfo,,0
DemoGroup,MechanicKoopaZone,LayerA,DemoObjInfo,,0
DemoGroup,OceanPhantomCaveGalaxy,Common,DemoObjInfo,,0
DemoGroup,OceanRingZone,Common,DemoObjInfo,,0
DemoGroup,ReverseForestHomeZone,Common,DemoObjInfo,,0
DemoGroup,ReverseForestHomeZone,LayerE,DemoObjInfo,,0
DemoGroup,SandStormJumpZone,LayerC,DemoObjInfo,,0
DemoGroup,SandStreamZone,LayerA,DemoObjInfo,,0
DemoGroup,SandUpDownZone,LayerA,DemoObjInfo,,0
DemoGroup,ScrewFleetZone,LayerA,DemoObjInfo,,0
DemoGroup,SnowCapsuleZone,Common,DemoObjInfo,,0
DemoGroup,SpaceStationZone,Common,DemoObjInfo,,0
DemoGroup,SpringWaterPlanetZone,LayerA,DemoObjInfo,,0
DemoGroup,SubmarineVolcanoPlanetZone,LayerA,DemoObjInfo,,0
DemoGroup,TeresaHouseZone,Common,DemoObjInfo,,0
DemoGroup,TeresaHouseZone,LayerA,DemoObjInfo,,0
DemoGroup,TriPodBossZone,Common,DemoObjInfo,,0
DemoGroup,UfoBegomanChainedPlanetZone,LayerA,DemoObjInfo,,0
DemoGroup,VanVanVanishLv2Zone,Common,DemoObjInfo,,0
DemoGroup,VolMichihikiZone,LayerA,DemoObjInfo,,0
DemoGroup,VolcanoPlanetZone,Common,DemoObjInfo,,0
DemoGroup,WaterShellZone,Common,DemoObjInfo,,0
DemoGroup,WormEatenZone,Common,DemoObjInfo,,0
DemoSubGroup,BattleShipGalaxy,LayerB,DemoObjInfo,,0
DemoSubGroup,CannonFleetGalaxy,LayerA,DemoObjInfo,,0
DemoSubGroup,EggStarGalaxy,LayerB,DemoObjInfo,,0
DemoSubGroup,HellProminenceGalaxy,LayerA,DemoObjInfo,,0
DemoSubGroup,OceanRingGalaxy,Common,DemoObjInfo,,0
DemoSubGroup,SandTowerZone,Common,DemoObjInfo,,0
DemoSubGroup,SubmarineVolcanoPlanetZone,LayerA,DemoObjInfo,,0
DemoSubGroup,TridentZone,Common,DemoObjInfo,,0
