name,zone,layer,list,args,has_args
GeneralPos,AstroDome,Common,GeneralPosInfo,,0
GeneralPos,AstroGalaxy,Common,GeneralPosInfo,,0
GeneralPos,AstroGalaxy,LayerF,GeneralPosInfo,,0
GeneralPos,BattleShipGalaxy,Common,GeneralPosInfo,,0
GeneralPos,BombTimeAttack2Zone,LayerA,GeneralPosInfo,,0
GeneralPos,BombTimeAttackZone,LayerA,GeneralPosInfo,,0
GeneralPos,BossBazookaTowerZone,Common,GeneralPosInfo,,0
GeneralPos,CannonFleetGalaxy,LayerA,GeneralPosInfo,,0
GeneralPos,CannonFleetGalaxy,LayerB,GeneralPosInfo,,0
GeneralPos,CannonFleetGalaxy,LayerC,GeneralPosInfo,,0
GeneralPos,CannonFleetGalaxy,LayerE,GeneralPosInfo,,0
GeneralPos,CosmosGardenGalaxy,Common,GeneralPosInfo,,0
GeneralPos,DandelionHillZone,Common,GeneralPosInfo,,0
GeneralPos,DarkRoomGalaxy,Common,GeneralPosInfo,,0
GeneralPos,EggStarGalaxy,Common,GeneralPosInfo,,0
GeneralPos,ElectricUfoLevel2Zone,LayerA,GeneralPosInfo,,0
GeneralPos,ElectricUfoZone,LayerA,GeneralPosInfo,,0
GeneralPos,EpilogueDemoStage,Common,GeneralPosInfo,,0
GeneralPos,FactoryGalaxy,LayerA,GeneralPosInfo,,0
GeneralPos,FactoryGalaxy,LayerB,GeneralPosInfo,,0
GeneralPos,FactoryGalaxy,LayerC,GeneralPosInfo,,0
GeneralPos,FactoryGalaxy,LayerM,GeneralPosInfo,,0
GeneralPos,FlipPanelExGalaxy,Common,GeneralPosInfo,,0
GeneralPos,ForestHomeZone,Common,GeneralPosInfo,,0
GeneralPos,ForestHomeZone,LayerF,GeneralPosInfo,,0
GeneralPos,GhostShipCaveZone,Common,GeneralPosInfo,,0
GeneralPos,HeavenlyBeachZone,LayerA,GeneralPosInfo,,0
GeneralPos,HeavenlyBeachZone,LayerB,GeneralPosInfo,,0
GeneralPos,HeavenlyBeachZone,LayerC,GeneralPosInfo,,0
GeneralPos,HeavensDoorMysteriousZone,Common,GeneralPosInfo,,0
GeneralPos,HeavensDoorMysteriousZone,LayerA,GeneralPosInfo,,0
GeneralPos,HeavensDoorMysteriousZone,LayerB,GeneralPosInfo,,0
GeneralPos,HellProminenceGalaxy,Common,GeneralPosInfo,,0
GeneralPos,HellShellZone,Common,GeneralPosInfo,,0
GeneralPos,HoneyBeeKingdomGalaxy,Common,GeneralPosInfo,,0
GeneralPos,HoneyQueenZone,Common,GeneralPosInfo,,0
GeneralPos,IceMountainZone,Common,GeneralPosInfo,,0
GeneralPos,IceMountainZone,LayerN,GeneralPosInfo,,0
GeneralPos,IceRingAZone,Common,GeneralPosInfo,,0
GeneralPos,IceVolcanoGalaxy,Common,GeneralPosInfo,,0
GeneralPos,KoopaBattleVs1BossZone,Common,GeneralPosInfo,,0
GeneralPos,KoopaBattleVs1Galaxy,Common,GeneralPosInfo,,0
GeneralPos,KoopaBattleVs2BossZone,Common,GeneralPosInfo,,0
GeneralPos,KoopaBattleVs2Galaxy,Common,GeneralPosInfo,,0
GeneralPos,KoopaBattleVs3ArigaBZone,Common,GeneralPosInfo,,0
GeneralPos,KoopaBattleVs3BZone,Common,GeneralPosInfo,,0
GeneralPos,KoopaBattleVs3BossZone,Common,GeneralPosInfo,,0
GeneralPos,KoopaJrShipBattleLv1Tmp1Zone,LayerA,GeneralPosInfo,,0
GeneralPos,KoopaJrShipLV1Galaxy,Common,GeneralPosInfo,,0
GeneralPos,LibraryRoom,Common,GeneralPosInfo,,0
GeneralPos,MarioLancherLecture3Zone,LayerA,GeneralPosInfo,,0
