name,zone,layer,list,args,has_args
AsteroidBlockRotateStepA,AsteroidBlockZone,LayerB,MapPartsInfo,"-1,-1,-1,-1",0
AsteroidBlockRotateStepA,AsteroidBlockZone,LayerM,MapPartsInfo,"-1,-1,-1,-1",0
AsteroidMoveA,KoopaJrShipBattleLv1Tmp1Zone,LayerA,MapPartsInfo,"-1,-1,-1,-1",0
AsteroidMoveA,MechanicKoopaZone,Common,MapPartsInfo,"-1,-1,-1,-1",0
AsteroidMoveA,PhantomGalaxy,Common,MapPartsInfo,"-1,-1,-1,-1",0
AsteroidMoveA,ThrowTutorialZone,LayerA,MapPartsInfo,"-1,-1,-1,-1",0
AstroDecoratePartsA,AstroGalaxy,Common,MapPartsInfo,"-1,-1,-1,-1",0
AstroRotateStepA,AstroGalaxy,Common,MapPartsInfo,"-1,-1,-1,-1",0
AstroRotateStepB,AstroGalaxy,Common,MapPartsInfo,"-1,-1,-1,-1",0
Banekiti,TeresaMario2DGalaxy,Common,MapPartsInfo,"-1,-1,-1,-1",0
BattleShipElevator,FortressJumpBeamerZone,LayerA,MapPartsInfo,"-1,-1,-1,-1",0
BattleShipMovePartsA,UfoGravityTurnOverZone,LayerA,MapPartsInfo,"-1,-1,-1,-1",0
BattleShipMovePartsB,UfoGravityTurnOverZone,LayerA,MapPartsInfo,"-1,-1,-1,-1",0
BeeWallClimbPartsA,WallClimbEXAZone,Common,MapPartsInfo,"-1,-1,-1,-1",0
BeeWallClimbPartsA,WallClimbEXBZone,Common,MapPartsInfo,"-1,-1,-1,-1",0
BeeWallClimbPartsA,WallClimbEXCZone,Common,MapPartsInfo,"-1,-1,-1,-1",0
BeeWallClimbPartsA,WaterRoadCaveExZone,Common,MapPartsInfo,"-1,-1,-1,-1",0
BiriBiriBegomanSpikePistonA,ElectricBegomanSpikeZone,Common,MapPartsInfo,"-1,-1,-1,-1",0
BroadBeanMoveStepA,SoramameZone,LayerA,MapPartsInfo,"-1,-1,-1,-1",0
BroadBeanMoveStepB,SoramameZone,LayerA,MapPartsInfo,"-1,-1,-1,-1",0
CandyLiftA,SweetsAsteroidZone,LayerA,MapPartsInfo,"-1,-1,-1,-1",0
CandyLiftB,SweetsAsteroidZone,LayerA,MapPartsInfo,"-1,-1,-1,-1",0
CannonFortressMoveWall,FortressCliffClimbZone,LayerA,MapPartsInfo,"-1,-1,-1,-1",0
CannonFortressRotateBreakStepA,FortressCliffClimbZone,LayerA,MapPartsInfo,"-1,-1,-1,-1",0
CannonFortressRotateBreakStepB,FortressCliffClimbZone,LayerA,MapPartsInfo,"-1,-1,-1,-1",0
