name,zone,layer,list,args,has_args
AirBubble,GhostShipCaveZone,Common,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
AirBubble,GhostShipCaveZone,Common,ObjInfo,"0,-1,-1,-1,-1,-1,-1,-1",1
AirBubble,GhostShipCaveZone,Common,ObjInfo,"1,-1,-1,-1,-1,-1,-1,-1",1
AirBubble,SubmarineVolcanoPlanetZone,LayerA,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
AirBubbleGenerator,FloaterLandZone,Common,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
AirBubbleGenerator,GhostShipCaveZone,Common,ObjInfo,"300,-1,-1,-1,-1,-1,-1,-1",1
AirBubbleGenerator,HeavenlyBeachZone,Common,ObjInfo,"250,-1,-1,-1,-1,-1,-1,-1",1
AirBubbleGenerator,HeavenlyBeachZone,Common,ObjInfo,"250,420,-1,-1,-1,-1,-1,-1",1
AirBubbleGenerator,HeavenlyBeachZone,Common,ObjInfo,"250,480,-1,-1,-1,-1,-1,-1",1
AirBubbleGenerator,SeaVolcanoZone,Common,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
AirBubbleGenerator,SubmarineVolcanoPlanetZone,LayerA,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
AirBubbleGenerator,TearDropGalaxy,Common,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,CocoPoihanaZone,LayerA,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,CubeBubbleEXAZone,LayerA,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,CubeBubbleEXCZone,LayerA,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,DesertConvectionZone,Common,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,DesertDiskZone,Common,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,ForestHomeZone,LayerD,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,ForestHomeZone,LayerF,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,GhostShipCaveZone,LayerA,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,GhostShipCaveZone,LayerB,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,GhostShipCaveZone,LayerE,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,IceMountainZone,LayerA,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,MechanicKoopaZone,Common,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,OceanRingZone,LayerM,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,ReverseForestHomeZone,LayerF,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,ReverseForestHomeZone,LayerG,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,ReverseForestHomeZone,LayerI,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,SandStreamZone,LayerA,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,SandTowerZone,Common,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
ArrowBoard,TamakoroExAZone,LayerA,ObjInfo,"-1,-1,-1,-1,-1,-1,-1,-1",0
