name,zone,layer,list,args,has_args
GlobalConeGravity,ElectricUfoLevel2Zone,LayerA,PlanetObjInfo,"0,100,-1,-1",1
GlobalConeGravity,ElectricUfoZone,LayerA,PlanetObjInfo,"0,100,-1,-1",1
GlobalConeGravity,OceanPuddingZone,Common,PlanetObjInfo,"0,350,-1,-1",1
GlobalConeGravity,SweetsAsteroidZone,Common,PlanetObjInfo,"-1,220,-1,-1",1
GlobalConeGravity,UfoBegomanChainedPlanetZone,LayerA,PlanetObjInfo,"0,515,-1,-1",1
GlobalConeGravity,UfoBegomanChainedPlanetZone,LayerA,PlanetObjInfo,"0,575,-1,-1",1
GlobalCubeGravity,AutumnMysteryRoomZone,Common,PlanetObjInfo,"-1,-1,-1,-1",0
GlobalCubeGravity,BlueStarZone,Common,PlanetObjInfo,"-1,-1,-1,-1",0
GlobalCubeGravity,BlueStarZone,Common,PlanetObjInfo,"0,-1,0,-1",1
GlobalCubeGravity,ChoConveyorZone,Common,PlanetObjInfo,"0,-1,0,-1",1
GlobalCubeGravity,CrossRingZone,Common,PlanetObjInfo,"-1,-1,-1,-1",0
GlobalCubeGravity,CrossRingZone,Common,PlanetObjInfo,"-1,-1,0,-1",1
GlobalCubeGravity,CrossRingZone,Common,PlanetObjInfo,"-1,-1,1,-1",1
GlobalCubeGravity,CrossRingZone,Common,PlanetObjInfo,"-1,0,-1,-1",1
GlobalCubeGravity,CrossRingZone,Common,PlanetObjInfo,"-1,2,-1,-1",1
GlobalCubeGravity,CrossRingZone,Common,PlanetObjInfo,"2,-1,2,-1",1
GlobalCubeGravity,CrossRingZone,Common,PlanetObjInfo,"2,1,-1,-1",1
GlobalCubeGravity,DorayakiFortressZone,Common,PlanetObjInfo,"0,1,-1,-1",1
GlobalCubeGravity,EggStarFlipPanelZone,Common,PlanetObjInfo,"-1,-1,-1,-1",0
GlobalCubeGravity,FlipPanelExZone,Common,PlanetObjInfo,"-1,-1,-1,-1",0
GlobalCubeGravity,GCaptureTutorialZone,Common,PlanetObjInfo,"1,0,3,-1",1
GlobalCubeGravity,GCaptureTutorialZone,Common,PlanetObjInfo,"3,3,3,-1",1
GlobalCubeGravity,HoneyMysteryRoomZone,Common,PlanetObjInfo,"-1,-1,-1,-1",0
GlobalCubeGravity,KoopaBattleVs1Galaxy,Common,PlanetObjInfo,"0,1,0,-1",1
GlobalCubeGravity,KoopaBattleVs1Galaxy,Common,PlanetObjInfo,"0,1,0,0",1
GlobalCubeGravity,KoopaBattleVs1Galaxy,Common,PlanetObjInfo,"1,0,0,-1",1
GlobalCubeGravity,KoopaBattleVs1Galaxy,Common,PlanetObjInfo,"1,1,0,-1",1
GlobalCubeGravity,KoopaBattleVs2Galaxy,Common,PlanetObjInfo,"0,1,0,0",1
GlobalCubeGravity,KoopaBattleVs2Galaxy,Common,PlanetObjInfo,"1,1,0,-1",1
GlobalCubeGravity,KoopaBattleVs2Galaxy,Common,PlanetObjInfo,"1,1,0,0",1
GlobalCubeGravity,KoopaBattleVs2Galaxy,Common,PlanetObjInfo,"1,2,0,-1",1
GlobalCubeGravity,KoopaBattleVs2Galaxy,Common,PlanetObjInfo,"2,1,0,0",1
GlobalCubeGravity,KoopaBattleVs2Galaxy,Common,PlanetObjInfo,"2,2,0,-1",1
GlobalCubeGravity,MiniMechanicKoopaZone,Common,PlanetObjInfo,"0,0,2,-1",1
GlobalCubeGravity,MiniMechanicKoopaZone,Common,PlanetObjInfo,"0,1,0,-1",1
GlobalCubeGravity,MiniMechanicKoopaZone,Common,PlanetObjInfo,"1,0,2,-1",1
GlobalCubeGravity,MiniMechanicKoopaZone,Common,PlanetObjInfo,"2,0,0,-1",1
GlobalCubeGravity,MysteryGravityRoomZone,Common,PlanetObjInfo,"-1,-1,-1,-1",0
GlobalCubeGravity,PhantomSpaceGraveyardZone,Common,PlanetObjInfo,"-1,-1,-1,-1",0
GlobalCubeGravity,PhantomSpaceGraveyardZone,Common,PlanetObjInfo,"-1,-1,1,-1",1
GlobalCubeGravity,PhantomSpaceGraveyardZone,Common,PlanetObjInfo,"-1,1,-1,-1",1
GlobalCubeGravity,PhantomSpaceGraveyardZone,Common,PlanetObjInfo,"-1,2,2,-1",1
GlobalCubeGravity,PoihanaPlanetZone,LayerA,PlanetObjInfo,"-1,-1,-1,-1",0
GlobalCubeGravity,QuickSand2DZone,Common,PlanetObjInfo,"0,1,0,0",1
GlobalCubeGravity,RabbitMazeZone,Common,PlanetObjInfo,"-1,-1,-1,-1",0
GlobalCubeGravity,SpaceStationZone,Common,PlanetObjInfo,"-1,-1,-1,-1",0
GlobalCubeGravity,SpaceStationZone,Common,PlanetObjInfo,"-1,0,-1,-1",1
GlobalCubeGravity,SpringWaterPlanetZone,LayerA,PlanetObjInfo,"-1,-1,-1,-1",0
GlobalCubeGravity,StarDustGalaxy,LayerB,PlanetObjInfo,"3,3,3,-1",1
GlobalCubeGravity,TeresaHouseZone,Common,PlanetObjInfo,"-1,-1,-1,-1",0
GlobalCubeGravity,TriPodBossZone,LayerA,PlanetObjInfo,"0,0,1,13",1
GlobalCubeGravity,TriPodBossZone,LayerA,PlanetObjInfo,"0,0,1,23",1
GlobalCubeGravity,TriPodBossZone,LayerA,PlanetObjInfo,"0,0,1,33",1
GlobalCubeGravity,TriPodBossZone,LayerA,PlanetObjInfo,"0,1,0,11",1
GlobalCubeGravity,TriPodBossZone,LayerA,PlanetObjInfo,"0,1,0,12",1
GlobalCubeGravity,TriPodBossZone,LayerA,PlanetObjInfo,"0,1,0,21",1
