name,zone,layer,list,args,has_args
SoundEmitter,AstroDome,LayerB,SoundInfo,"22,-1,-1,-1",1
SoundEmitter,AstroDome,LayerE,SoundInfo,"27,-1,-1,-1",1
SoundEmitter,AstroGalaxy,Common,SoundInfo,"22,-1,-1,-1",1
SoundEmitter,AstroGalaxy,Common,SoundInfo,"23,-1,-1,-1",1
SoundEmitter,ColdTwinFallZone,Common,SoundInfo,"17,-1,-1,-1",1
SoundEmitter,ColdTwinFallZone,Common,SoundInfo,"18,-1,-1,-1",1
SoundEmitter,CosmosGardenGalaxy,LayerA,SoundInfo,"12,-1,-1,-1",1
SoundEmitter,CosmosGardenGalaxy,LayerB,SoundInfo,"12,-1,-1,-1",1
SoundEmitter,CosmosGardenGalaxy,LayerC,SoundInfo,"12,-1,-1,-1",1
SoundEmitter,EggStarFlipPanelZone,Common,SoundInfo,"30,-1,-1,-1",1
SoundEmitter,ForestHomeZone,Common,SoundInfo,"1,-1,-1,-1",1
SoundEmitter,ForestHomeZone,Common,SoundInfo,"10,-1,-1,-1",1
SoundEmitter,ForestHomeZone,Common,SoundInfo,"11,-1,-1,-1",1
SoundEmitter,ForestHomeZone,Common,SoundInfo,"3,-1,-1,-1",1
SoundEmitter,ForestHomeZone,Common,SoundInfo,"9,-1,-1,-1",1
SoundEmitter,FortressJumpBeamerZone,LayerA,SoundInfo,"26,-1,-1,-1",1
SoundEmitter,GhostShipCaveZone,Common,SoundInfo,"30,-1,-1,-1",1
SoundEmitter,GhostShipCaveZone,Common,SoundInfo,"5,-1,-1,-1",1
SoundEmitter,HeavenlyBeachZone,Common,SoundInfo,"1,-1,-1,-1",1
SoundEmitter,HeavenlyBeachZone,Common,SoundInfo,"2,-1,-1,-1",1
SoundEmitter,HeavenlyBeachZone,Common,SoundInfo,"3,-1,-1,-1",1
SoundEmitter,HeavenlyBeachZone,Common,SoundInfo,"4,-1,-1,-1",1
SoundEmitter,HellBallZone,LayerA,SoundInfo,"31,-1,-1,-1",1
SoundEmitter,HellRotateGround2DPlanetZone,LayerA,SoundInfo,"24,-1,-1,-1",1
SoundEmitter,IceRingBZone,Common,SoundInfo,"25,-1,-1,-1",1
SoundEmitter,KoopaBattleVs3DZone,Common,SoundInfo,"29,-1,-1,-1",1
SoundEmitter,KoopaBattleVs3Galaxy,Common,SoundInfo,"32,-1,-1,-1",1
SoundEmitter,KoopaJrShipBattleLv1Tmp1Zone,Common,SoundInfo,"6,-1,-1,-1",1
SoundEmitter,KoopaJrShipBattleLv1Tmp1Zone,Common,SoundInfo,"7,-1,-1,-1",1
SoundEmitter,KoopaJrShipLV1Galaxy,Common,SoundInfo,"6,-1,-1,-1",1
SoundEmitter,KoopaJrShipLV1Galaxy,Common,SoundInfo,"7,-1,-1,-1",1
SoundEmitter,MarioLancherLecture2Zone,LayerA,SoundInfo,"30,-1,-1,-1",1
SoundEmitter,MarioLancherLecture3Zone,LayerA,SoundInfo,"30,-1,-1,-1",1
SoundEmitter,OnimasuZone,Common,SoundInfo,"8,-1,-1,-1",1
SoundEmitter,PeachCastleFinalGalaxy,Common,SoundInfo,"20,-1,-1,-1",1
SoundEmitter,PeachCastleFinalGalaxy,Common,SoundInfo,"21,-1,-1,-1",1
SoundEmitter,PeachCastleGardenGalaxy,Common,SoundInfo,"20,-1,-1,-1",1
SoundEmitter,PeachCastleGardenGalaxy,Common,SoundInfo,"21,-1,-1,-1",1
SoundEmitter,PeachCastleGardenGalaxy,LayerA,SoundInfo,"6,-1,-1,-1",1
SoundEmitter,PeachCastleGardenGalaxy,LayerA,SoundInfo,"7,-1,-1,-1",1
SoundEmitter,ReverseForestHomeZone,Common,SoundInfo,"1,-1,-1,-1",1
SoundEmitter,ReverseForestHomeZone,Common,SoundInfo,"10,-1,-1,-1",1
SoundEmitter,ReverseForestHomeZone,Common,SoundInfo,"11,-1,-1,-1",1
SoundEmitter,ReverseForestHomeZone,Common,SoundInfo,"3,-1,-1,-1",1
SoundEmitter,ReverseForestHomeZone,Common,SoundInfo,"9,-1,-1,-1",1
SoundEmitter,ThrowTutorialZone,Common,SoundInfo,"6,-1,-1,-1",1
SoundEmitter,ThrowTutorialZone,Common,SoundInfo,"7,-1,-1,-1",1
SoundEmitter,UfoBegomanChainedPlanetZone,LayerA,SoundInfo,"30,-1,-1,-1",1
SoundEmitter,UfoGravityTurnOverZone,LayerA,SoundInfo,"19,-1,-1,-1",1
SoundEmitter,VolcanoPlanetZone,LayerA,SoundInfo,"30,-1,-1,-1",1
SoundEmitter,WaterRoadCaveExZone,Common,SoundInfo,"13,-1,-1,-1",1
SoundEmitter,WaterRoadCaveExZone,Common,SoundInfo,"15,-1,-1,-1",1
