name,zone,layer,list,args,has_args
AsteroidBlockZone,FactoryGalaxy,Common,StageObjInfo,,0
AutumnMysteryRoomZone,ReverseKingdomGalaxy,Common,StageObjInfo,,0
BattleShipKillerPlanetZone,TriLegLV1Galaxy,Common,StageObjInfo,,0
BeamGunChaindPlanetZone,CannonFleetGalaxy,Common,StageObjInfo,,0
BeamerRushZone,CannonFleetGalaxy,Common,StageObjInfo,,0
BirthdayCakeZone,FactoryGalaxy,Common,StageObjInfo,,0
BlueStarZone,EggStarGalaxy,Common,StageObjInfo,,0
BombTimeAttack2Zone,CannonFleetGalaxy,Common,StageObjInfo,,0
BombTimeAttackZone,BattleShipGalaxy,LayerB,StageObjInfo,,0
BombheiLectureZone,BattleShipGalaxy,Common,StageObjInfo,,0
BossBazookaTowerZone,FactoryGalaxy,Common,StageObjInfo,,0
BreakDownPlanetZone,BreakDownPlanetGalaxy,Common,StageObjInfo,,0
BrokenKillerPlanetZone,FloaterOtakingGalaxy,Common,StageObjInfo,,0
CannonGCaptureZone,CannonFleetGalaxy,LayerA,StageObjInfo,,0
CanonTurnOverZone,CannonFleetGalaxy,LayerC,StageObjInfo,,0
CaveChangeSizeZone,OceanPhantomCaveGalaxy,Common,StageObjInfo,,0
CaveMysteryRoomZone,OceanPhantomCaveGalaxy,Common,StageObjInfo,,0
ChoConveyorZone,FactoryGalaxy,Common,StageObjInfo,,0
ClimbMysteryRoomZone,HeavenlyBeachGalaxy,Common,StageObjInfo,,0
CoCoTwinZone,EggStarGalaxy,Common,StageObjInfo,,0
CocoPoihanaZone,SandClockGalaxy,Common,StageObjInfo,,0
ColdTwinFallZone,HeavenlyBeachGalaxy,Common,StageObjInfo,,0
CrossRingZone,FactoryGalaxy,Common,StageObjInfo,,0
CubeBubbleExAZone,CubeBubbleExLv1Galaxy,Common,StageObjInfo,,0
CubeBubbleExBZone,CubeBubbleExLv2Galaxy,Common,StageObjInfo,,0
CubeBubbleExCZone,CubeBubbleExLv2Galaxy,Common,StageObjInfo,,0
CubeBubbleExSZone,CubeBubbleExLv1Galaxy,Common,StageObjInfo,,0
DandelionHillZone,CosmosGardenGalaxy,Common,StageObjInfo,,0
DarknessRoomZone,PhantomGalaxy,Common,StageObjInfo,,0
DesertConvectionZone,SandClockGalaxy,Common,StageObjInfo,,0
